Date,Close/Last,Volume,Open,High,Low
06/04/2021,819.327,--,811.6059,825.9917,811.2008
06/03/2021,805.206,--,815.6117,825.3984,803.2255
06/02/2021,822.1224,--,823.8506,828.3979,815.5871
06/01/2021,826.1233,--,824.301,836.7152,815.9966
05/28/2021,817.1108,--,823.6997,831.6728,815.7103
05/27/2021,819.3877,--,811.0973,819.859,803.6089
05/26/2021,808.799,--,786.7128,810.5926,786.2163
05/25/2021,784.0704,--,793.3221,797.4859,781.6257
05/24/2021,788.7419,--,787.7313,794.7306,778.9574
05/21/2021,784.5158,--,787.813,791.9593,777.6069
05/20/2021,780.7431,--,766.8871,783.5948,766.8871
05/19/2021,759.0165,--,731.3472,759.1594,729.0007
05/18/2021,748.4021,--,740.0362,759.8379,733.882
05/17/2021,738.2247,--,735.8268,740.1217,723.0943
05/14/2021,738.2247,--,727.4938,749.0181,724.2558
05/13/2021,712.6481,--,727.4904,739.1131,699.8503
05/12/2021,718.7021,--,735.1277,746.3803,716.6617
05/11/2021,753.1716,--,709.5374,759.2068,708.6669
05/10/2021,744.5717,--,780.6514,780.7813,744.4472
05/07/2021,786.0964,--,780.2156,799.215,776.253
05/06/2021,773.3338,--,780.3116,784.531,757.726
05/05/2021,788.0096,--,798.8258,803.3517,781.7505
05/04/2021,792.4943,--,809.4161,810.3069,780.6831
05/03/2021,827.8517,--,850.2985,850.7267,826.823
04/30/2021,847.1888,--,847.2521,863.4458,844.2689
04/29/2021,862.1372,--,888.6002,889.158,851.273
04/28/2021,883.5485,--,884.4023,890.3365,877.8601
04/27/2021,901.9023,--,916.0657,916.3005,900.9844
04/26/2021,915.2921,--,898.0831,917.3546,890.9414
04/23/2021,891.7722,--,870.103,894.6622,866.474
04/22/2021,863.4339,--,869.2998,884.6089,856.0656
04/21/2021,854.9584,--,814.0825,855.1368,807.2527
04/20/2021,821.3564,--,832.4105,843.2454,809.9412
04/19/2021,832.7899,--,850.6886,860.2698,823.2887
04/16/2021,856.45,--,843.1014,858.988,840.6108
04/15/2021,842.3178,--,866.4611,866.4611,827.555
04/14/2021,859.6706,--,880.8039,883.5842,857.1247
04/13/2021,868.9102,--,859.5856,869.4964,850.8238
04/12/2021,858.9878,--,864.6642,864.6642,849.1635
04/09/2021,870.1204,--,869.5231,871.5656,860.7081
04/08/2021,877.2609,--,873.1025,884.5198,869.8832
04/07/2021,864.8746,--,897.2942,897.2942,861.3397
04/06/2021,902.1049,--,890.8273,912.156,889.4928
04/05/2021,890.2734,--,921.4885,922.7874,886.9409
