"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2021","4.4977","4.5265","4.5390","4.4950","-","-0.63%"
"Jun 06, 2021","4.5263","4.5155","4.5293","4.5115","-","-0.06%"
"Jun 04, 2021","4.5290","4.4675","4.5395","4.4370","-","1.48%"
"Jun 03, 2021","4.4630","4.6040","4.6205","4.4295","127.70K","-2.80%"
"Jun 02, 2021","4.5915","4.6530","4.6675","4.5790","75.46K","-1.33%"
"Jun 01, 2021","4.6535","4.6755","4.7070","4.6375","128.29K","-0.59%"
"May 31, 2021","4.6810","4.6930","4.7047","4.6525","-","-0.27%"
"May 30, 2021","4.6937","4.6723","4.6950","4.6697","-","0.35%"
"May 28, 2021","4.6775","4.6660","4.6950","4.5925","104.13K","0.31%"
"May 27, 2021","4.6630","4.5250","4.6770","4.5015","90.45K","2.95%"
"May 26, 2021","4.5295","4.5105","4.5470","4.4945","65.58K","0.51%"
"May 25, 2021","4.5065","4.5315","4.5815","4.4910","86.45K","-0.42%"
"May 24, 2021","4.5255","4.5020","4.5415","4.4440","79.53K","0.99%"
"May 21, 2021","4.4810","4.5350","4.5625","4.4690","105.06K","-1.90%"
"May 20, 2021","4.5680","4.5720","4.6250","4.5230","102.54K","-0.19%"
"May 19, 2021","4.5765","4.7065","4.7280","4.5285","142.07K","-3.15%"
"May 18, 2021","4.7255","4.7155","4.7820","4.7040","78.11K","0.30%"
"May 17, 2021","4.7115","4.6675","4.7220","4.6405","76.76K","1.22%"
"May 14, 2021","4.6545","4.6860","4.7120","4.6060","115.49K","-0.77%"
"May 13, 2021","4.6905","4.7190","4.7675","4.6435","113.72K","-0.96%"
"May 12, 2021","4.7360","4.8000","4.8245","4.7060","108.33K","-0.55%"
"May 11, 2021","4.7620","4.6650","4.8035","4.6625","109.38K","0.98%"
"May 10, 2021","4.7160","4.7800","4.8880","4.6875","160.25K","-0.68%"
"May 07, 2021","4.7485","4.6090","4.7510","4.5975","120.25K","3.17%"
"May 06, 2021","4.6025","4.5190","4.6125","4.5005","79.80K","1.74%"
