Date,Open,High,Low,Close,null
20000222,1346.09009,1358.11011,1331.96997,1352.16992,0
20000223,1352.16992,1370.12012,1342.41992,1360.68994,0
20000224,1360.68994,1364.48999,1329.8999,1353.42993,0
20000225,1353.42993,1362.12012,1329.11987,1333.35986,0
20000228,1333.36011,1360.82007,1325.01978,1348.0498,0
20000229,1348.05005,1369.51001,1348.0498,1366.41992,0
20000301,1366.41992,1383,1366.41992,1379.18994,0
20000302,1379.18994,1386.90991,1370.31982,1381.75977,0
20000303,1381.76001,1410.87988,1381.75977,1409.16992,0
20000306,1409.16992,1409.81006,1384.78979,1391.27979,0
20000307,1391.28003,1399.57007,1349.59985,1355.61987,0
20000308,1355.62012,1373.59009,1346.5,1366.69995,0
20000309,1366.69995,1401.82007,1357.84985,1401.68994,0
20000310,1401.68994,1413.37988,1392.06982,1395.06982,0
20000313,1395.07007,1398.44995,1365.30981,1383.61987,0
20000314,1383.62012,1395.33008,1359.13989,1359.1499,0
20000315,1359.1499,1397.98999,1356.98999,1392.1499,0
20000316,1392.1499,1458.46997,1392.1499,1458.46997,0
20000317,1458.46997,1476.63989,1453.19995,1464.46997,0
20000320,1464.46997,1470.22998,1448.42993,1456.62988,0
20000321,1456.62988,1493.92993,1446.03979,1493.86987,0
20000322,1493.87012,1505.04004,1487.3999,1500.63989,0
20000323,1500.63989,1532.12988,1493.75977,1527.34985,0
20000324,1527.3501,1553.11011,1516.84985,1527.45996,0
20000327,1527.45996,1534.65991,1518.61987,1523.85986,0
20000328,1523.86011,1527.19995,1507.19995,1507.72998,0
20000329,1507.72998,1521.36011,1497.31982,1508.51978,0
20000330,1508.52002,1517.42993,1474.62988,1487.91992,0
20000331,1487.91992,1519.77002,1484.52979,1498.57983,0
20000403,1498.58008,1507.08008,1487.08984,1505.96997,0
20000404,1505.97998,1526.21997,1417.21997,1494.72998,0
20000405,1494.72998,1506.55005,1478.05981,1487.36987,0
20000406,1487.37012,1511.76001,1487.36987,1501.33984,0
20000407,1501.34009,1518.47998,1501.33984,1516.34985,0
20000410,1516.3501,1527.11011,1503.01978,1504.45996,0
20000411,1504.45996,1512.80005,1486.87988,1500.58984,0
20000412,1500.59009,1510.59009,1466.1499,1467.16992,0
